Row Labels
4000-104000
104000-204000
204000-304000
304000-404000
404000-504000
504000-604000
604000-704000
704000-804000
804000-904000
904000-1004000
1004000-1104000
1104000-1204000
1204000-1304000
1304000-1404000
1404000-1504000
1704000-1804000
1804000-1904000
2004000-2104000
3804000-3904000
5904000-6004000
Grand Total
